mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_multi_class,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.007473886013031006,0.00405417382013346,0.0,0.0,0.001,100,ovr,l1,"{'C': 0.001, 'max_iter': 100, 'multi_class': 'ovr', 'penalty': 'l1'}",,,,,,,37
0.092232346534729,0.03383299160709656,0.005958616733551025,0.0010482408893194234,0.001,100,ovr,l2,"{'C': 0.001, 'max_iter': 100, 'multi_class': 'ovr', 'penalty': 'l2'}",0.795926517571885,0.795826677316294,0.7982228434504792,0.7979031452820768,0.7969697959051838,0.001099592992783424,34
0.010179281234741211,0.002109713695992843,0.0,0.0,0.001,100,multinomial,l1,"{'C': 0.001, 'max_iter': 100, 'multi_class': 'multinomial', 'penalty': 'l1'}",,,,,,,37
0.1604335904121399,0.0650939901172011,0.007547557353973389,0.003835959753961246,0.001,100,multinomial,l2,"{'C': 0.001, 'max_iter': 100, 'multi_class': 'multinomial', 'penalty': 'l2'}",0.7985223642172524,0.797923322683706,0.799720447284345,0.800499251123315,0.7991663463271546,0.0010054207828607024,31
0.003121495246887207,0.00031547987922873227,0.0,0.0,0.001,200,ovr,l1,"{'C': 0.001, 'max_iter': 200, 'multi_class': 'ovr', 'penalty': 'l1'}",,,,,,,37
0.04313415288925171,0.005082174479353875,0.003799259662628174,0.0006938259287733305,0.001,200,ovr,l2,"{'C': 0.001, 'max_iter': 200, 'multi_class': 'ovr', 'penalty': 'l2'}",0.795926517571885,0.795826677316294,0.7982228434504792,0.7979031452820768,0.7969697959051838,0.001099592992783424,34
0.0032889246940612793,0.0005264587090903771,0.0,0.0,0.001,200,multinomial,l1,"{'C': 0.001, 'max_iter': 200, 'multi_class': 'multinomial', 'penalty': 'l1'}",,,,,,,37
0.11709415912628174,0.022818653318465578,0.003357529640197754,0.00028191630953384035,0.001,200,multinomial,l2,"{'C': 0.001, 'max_iter': 200, 'multi_class': 'multinomial', 'penalty': 'l2'}",0.7985223642172524,0.797923322683706,0.799720447284345,0.800499251123315,0.7991663463271546,0.0010054207828607024,31
0.0032227635383605957,0.00043102021888172313,0.0,0.0,0.001,300,ovr,l1,"{'C': 0.001, 'max_iter': 300, 'multi_class': 'ovr', 'penalty': 'l1'}",,,,,,,37
0.08944302797317505,0.0401853885272374,0.015506446361541748,0.017063061886952804,0.001,300,ovr,l2,"{'C': 0.001, 'max_iter': 300, 'multi_class': 'ovr', 'penalty': 'l2'}",0.795926517571885,0.795826677316294,0.7982228434504792,0.7979031452820768,0.7969697959051838,0.001099592992783424,34
0.00440138578414917,0.0010268038629813192,0.0,0.0,0.001,300,multinomial,l1,"{'C': 0.001, 'max_iter': 300, 'multi_class': 'multinomial', 'penalty': 'l1'}",,,,,,,37
0.1456637978553772,0.016645691086814792,0.008199810981750488,0.0024155887695248898,0.001,300,multinomial,l2,"{'C': 0.001, 'max_iter': 300, 'multi_class': 'multinomial', 'penalty': 'l2'}",0.7985223642172524,0.797923322683706,0.799720447284345,0.800499251123315,0.7991663463271546,0.0010054207828607024,31
0.003638148307800293,0.0007241766538391176,0.0,0.0,0.01,100,ovr,l1,"{'C': 0.01, 'max_iter': 100, 'multi_class': 'ovr', 'penalty': 'l1'}",,,,,,,37
0.1305953860282898,0.04863014403335717,0.006217241287231445,0.0012703656391828708,0.01,100,ovr,l2,"{'C': 0.01, 'max_iter': 100, 'multi_class': 'ovr', 'penalty': 'l2'}",0.8015175718849841,0.7988218849840255,0.799620607028754,0.8037943085371942,0.8009385931087395,0.001917541891584236,28
0.00716710090637207,0.001046428446251419,0.0,0.0,0.01,100,multinomial,l1,"{'C': 0.01, 'max_iter': 100, 'multi_class': 'multinomial', 'penalty': 'l1'}",,,,,,,37
0.2926463484764099,0.05416176024360441,0.009627580642700195,0.0011087491772288915,0.01,100,multinomial,l2,"{'C': 0.01, 'max_iter': 100, 'multi_class': 'multinomial', 'penalty': 'l2'}",0.801617412140575,0.7992212460063898,0.799720447284345,0.8037943085371942,0.801088353492126,0.001799955104718384,25
